call_id,model,condition,repeat,prompt_file,few_shot,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
claude-sonnet-4-6__P1__r13,claude-sonnet-4-6,P1,13,claude-sonnet-4-6__P1__r13.json,,overhead_slow,hit_ctrl,kickback_fast,kickback_ctrl,kickback_slow,hit_fast,overhead_ctrl,point_slow,overhead_fast,point_fast,point_ctrl,hit_slow
claude-sonnet-4-6__P1__r14,claude-sonnet-4-6,P1,14,claude-sonnet-4-6__P1__r14.json,,overhead_fast,overhead_slow,kickback_ctrl,kickback_fast,hit_fast,hit_ctrl,point_ctrl,hit_slow,kickback_slow,point_fast,point_slow,overhead_ctrl
claude-sonnet-4-6__P1__r15,claude-sonnet-4-6,P1,15,claude-sonnet-4-6__P1__r15.json,,point_ctrl,kickback_slow,overhead_fast,kickback_ctrl,point_fast,hit_fast,overhead_slow,point_slow,hit_ctrl,kickback_fast,overhead_ctrl,hit_slow
claude-haiku-4-5__P1__r01,claude-haiku-4-5,P1,1,claude-haiku-4-5__P1__r01.json,,overhead_ctrl,hit_ctrl,overhead_slow,point_slow,kickback_ctrl,point_fast,kickback_slow,hit_slow,hit_fast,point_ctrl,kickback_fast,overhead_fast
claude-haiku-4-5__P1__r02,claude-haiku-4-5,P1,2,claude-haiku-4-5__P1__r02.json,,point_slow,point_ctrl,hit_fast,overhead_ctrl,kickback_slow,hit_ctrl,overhead_fast,overhead_slow,kickback_fast,point_fast,kickback_ctrl,hit_slow
claude-haiku-4-5__P1__r03,claude-haiku-4-5,P1,3,claude-haiku-4-5__P1__r03.json,,overhead_ctrl,point_ctrl,hit_slow,point_fast,hit_fast,hit_ctrl,kickback_ctrl,overhead_fast,kickback_fast,kickback_slow,point_slow,overhead_slow
claude-haiku-4-5__P1__r04,claude-haiku-4-5,P1,4,claude-haiku-4-5__P1__r04.json,,point_slow,kickback_fast,kickback_ctrl,overhead_fast,point_fast,point_ctrl,kickback_slow,hit_fast,hit_slow,overhead_slow,hit_ctrl,overhead_ctrl
claude-haiku-4-5__P1__r05,claude-haiku-4-5,P1,5,claude-haiku-4-5__P1__r05.json,,hit_ctrl,hit_slow,point_fast,overhead_fast,kickback_ctrl,kickback_fast,overhead_ctrl,point_slow,overhead_slow,hit_fast,point_ctrl,kickback_slow
claude-haiku-4-5__P1__r06,claude-haiku-4-5,P1,6,claude-haiku-4-5__P1__r06.json,,kickback_fast,kickback_slow,hit_ctrl,point_fast,point_ctrl,overhead_ctrl,overhead_slow,kickback_ctrl,overhead_fast,point_slow,hit_slow,hit_fast
claude-haiku-4-5__P1__r07,claude-haiku-4-5,P1,7,claude-haiku-4-5__P1__r07.json,,hit_fast,kickback_slow,hit_ctrl,point_ctrl,point_slow,kickback_fast,overhead_slow,overhead_ctrl,hit_slow,kickback_ctrl,overhead_fast,point_fast
claude-haiku-4-5__P1__r08,claude-haiku-4-5,P1,8,claude-haiku-4-5__P1__r08.json,,hit_slow,kickback_fast,kickback_ctrl,hit_ctrl,point_slow,kickback_slow,point_fast,point_ctrl,overhead_slow,overhead_ctrl,hit_fast,overhead_fast
claude-haiku-4-5__P1__r09,claude-haiku-4-5,P1,9,claude-haiku-4-5__P1__r09.json,,hit_ctrl,hit_slow,point_fast,hit_fast,overhead_fast,point_ctrl,overhead_ctrl,kickback_ctrl,kickback_slow,overhead_slow,point_slow,kickback_fast
claude-haiku-4-5__P1__r10,claude-haiku-4-5,P1,10,claude-haiku-4-5__P1__r10.json,,kickback_fast,overhead_slow,kickback_slow,hit_ctrl,point_fast,overhead_fast,point_slow,hit_fast,kickback_ctrl,point_ctrl,overhead_ctrl,hit_slow
claude-haiku-4-5__P1__r11,claude-haiku-4-5,P1,11,claude-haiku-4-5__P1__r11.json,,kickback_slow,overhead_ctrl,hit_fast,point_slow,kickback_ctrl,overhead_fast,point_ctrl,point_fast,overhead_slow,hit_ctrl,kickback_fast,hit_slow
claude-haiku-4-5__P1__r12,claude-haiku-4-5,P1,12,claude-haiku-4-5__P1__r12.json,,overhead_fast,kickback_slow,point_ctrl,overhead_slow,overhead_ctrl,point_fast,kickback_ctrl,hit_fast,hit_slow,kickback_fast,hit_ctrl,point_slow
claude-haiku-4-5__P1__r13,claude-haiku-4-5,P1,13,claude-haiku-4-5__P1__r13.json,,overhead_slow,hit_ctrl,kickback_fast,kickback_ctrl,kickback_slow,hit_fast,overhead_ctrl,point_slow,overhead_fast,point_fast,point_ctrl,hit_slow
claude-haiku-4-5__P1__r14,claude-haiku-4-5,P1,14,claude-haiku-4-5__P1__r14.json,,overhead_fast,overhead_slow,kickback_ctrl,kickback_fast,hit_fast,hit_ctrl,point_ctrl,hit_slow,kickback_slow,point_fast,point_slow,overhead_ctrl
claude-haiku-4-5__P1__r15,claude-haiku-4-5,P1,15,claude-haiku-4-5__P1__r15.json,,point_ctrl,kickback_slow,overhead_fast,kickback_ctrl,point_fast,hit_fast,overhead_slow,point_slow,hit_ctrl,kickback_fast,overhead_ctrl,hit_slow
